datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,carbon_intensity_production_avg,carbon_intensity_discharge_avg,carbon_intensity_import_avg,total_production_avg,total_storage_avg,total_discharge_avg,total_import_avg,total_export_avg,total_consumption_avg,production_sources,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg,power_production_nuclear_avg,power_production_geothermal_avg,power_production_biomass_avg,power_production_coal_avg,power_production_wind_avg,power_production_solar_avg,power_production_hydro_avg,power_production_gas_avg,power_production_oil_avg,power_production_unknown_avg,power_consumption_nuclear_avg,power_consumption_geothermal_avg,power_consumption_biomass_avg,power_consumption_coal_avg,power_consumption_wind_avg,power_consumption_solar_avg,power_consumption_hydro_avg,power_consumption_gas_avg,power_consumption_oil_avg,power_consumption_unknown_avg,power_consumption_battery_discharge_avg,power_consumption_hydro_discharge_avg,power_net_discharge_battery_avg,power_net_discharge_hydro_avg,power_net_import_GB_avg,carbon_intensity_exchange_GB_avg,power_net_import_GB-NIR_avg,carbon_intensity_exchange_GB-NIR_avg,latest_forecasted_wind_x_avg,latest_forecasted_wind_y_avg,latest_forecasted_solar_avg,latest_forecasted_temperature_avg,latest_forecasted_dewpoint_avg,latest_forecasted_precipitation_avg,latest_forecasted_price_avg,latest_forecasted_production_avg,latest_forecasted_consumption_avg,latest_forecasted_power_net_import_GB_avg,latest_forecasted_power_net_import_GB-NIR_avg,latest_forecasted_production_solar_avg,latest_forecasted_production_wind_avg
2019-01-01T00:00:00+00:00,2022-02-08T07:17:21.012786+00:00,2022-02-15T01:27:55.963706+00:00,1546300800,IE,314.59,349.37,,211.33,1951,0,0,657.1,0,2608.1,entsoe.eu,55.82,39.11,62.99,37.01,,,,194.5,593,,129,999.5,35,0,132.3,0,17.32,250.39,864.37,0,137.13,1169.29,35.12,1.34,0,0.85,,0,243,139.41,414.1,253.53,3.54,0.97,0,281.15,279.8,0.21,70.28,,3554,241,,,262
2019-01-01T01:00:00+00:00,2022-02-08T07:20:31.772237+00:00,2022-02-15T01:31:44.838095+00:00,1546304400,IE,297.63,333.52,,208.03,1747,0,0,699.73,0,2446.72,entsoe.eu,50.94,42.85,57.64,42.36,,,,225.5,614,,126,750,31.5,0,151.89,0.01,19.63,281.22,893.6,0,135.02,932.06,31.73,1.57,0,0,,0,315,140.69,384.73,263.17,3.5,0.74,0,281,279.7,0.04,65.18,,3326,314,,,231
2019-01-01T02:00:00+00:00,2022-02-08T07:20:31.772237+00:00,2022-02-15T01:32:55.936672+00:00,1546308000,IE,282.49,333.73,,192.7,1436,0,0,819.48,0,2255.47,entsoe.eu,47.12,43.25,55.85,44.15,,,,218.5,513,,121,548.5,35,0,217.16,0,27.91,270.24,814.13,0,133.05,755.44,35.35,2.19,0,0,,0,502,133.62,317.48,286.12,3.41,0.44,0,280.87,279.64,0.07,60.91,,3096,499,,,205
2019-01-01T03:00:00+00:00,2022-02-08T07:17:15.526544+00:00,2022-02-15T01:33:05.629046+00:00,1546311600,IE,274.68,328.22,,192.45,1281,0,0,834.12,0,2115.12,entsoe.eu,45.45,43.58,54.29,45.71,,,,200,461.5,,124,460.5,35,0,231.91,0.01,30.09,250.23,755.6,0,135.7,673.98,35.25,2.37,0,0,,0,536,130.94,298.12,303.04,2.83,-0.29,0,280.68,279.65,0.08,65.16,,2947,530,,,166
2019-01-01T04:00:00+00:00,2022-02-08T07:20:39.984346+00:00,2022-02-15T01:27:55.963706+00:00,1546315200,IE,288.01,354.07,,196.41,1195,0,0,861.92,0,2056.93,entsoe.eu,47.74,41.02,58.74,41.26,,,,201.5,368.5,,124.5,465.5,35,0,231.34,0,31.37,256.01,673.63,0,138.22,688.64,35.23,2.5,0,0,,0,536,132.05,325.93,302.27,2.26,-0.44,0,280.4,279.4,0.09,65.16,,2910,530,,,128
2019-01-01T05:00:00+00:00,2022-02-08T07:17:02.676490+00:00,2022-02-15T01:27:56.415400+00:00,1546318800,IE,301.95,378.14,,203.33,1151.5,0,0,889.6,0,2041.1,entsoe.eu,50.46,38.38,63.27,36.73,,,,202,297.5,,125.5,492,34.5,0,227.73,0,32.31,258.8,610.4,0,140.25,734.35,34.72,2.55,0,0,,0,536,141.8,353.6,296.61,1.76,-0.62,0,280.21,279.19,0.09,68.29,,2897,530,,,98
2019-01-01T06:00:00+00:00,2022-02-08T07:20:31.772237+00:00,2022-02-15T01:31:44.838095+00:00,1546322400,IE,326.76,407.49,,214.29,1196.5,0,0,858.73,0,2055.22,entsoe.eu,54.48,35.25,67.86,32.14,,,,237,258.5,,126,540,35,0,211.13,0,41.95,289.08,541.96,0,140.06,793.44,35.21,2.4,0,0,,0,536,159.31,322.73,305.6,1.28,-0.75,0,280.04,278.95,0.1,63.03,,3005,530,,,75
2019-01-01T07:00:00+00:00,2022-02-08T07:20:31.772237+00:00,2022-02-15T01:27:56.415400+00:00,1546326000,IE,358.63,445.53,,206.92,1304,0,0,747.02,0,2051.03,entsoe.eu,59.89,29.83,74.08,25.92,,,,293,213,,125,638,35,0,210.82,0,28.18,330.84,439.96,0.08,138.95,860.33,35.16,2.39,0,4.29,,0,517,158.54,230.03,315.67,0.91,-0.76,0,279.86,278.68,0,51.62,,3385,511,,,61
2019-01-01T08:00:00+00:00,2022-02-08T07:17:02.676490+00:00,2022-02-15T01:31:44.838095+00:00,1546329600,IE,406.25,474.28,327.25,222.67,1375,0,10,505.27,0,1890.28,entsoe.eu,67.48,24.89,78.01,21.99,,,,340,161,,133.5,706,34.5,0,144.3,0,18.82,365.23,294.57,1.18,143.9,874.48,34.65,1.52,0,11.64,,10,360,176.02,145.28,338.24,0.69,-0.73,0,279.75,278.54,0.01,51.63,,3895,357,,,57
2019-01-01T09:00:00+00:00,2022-02-08T07:17:15.526544+00:00,2022-02-15T01:32:55.936672+00:00,1546333200,IE,422.86,484.42,327.25,234.59,1425,0,27.5,452.02,0,1904.53,entsoe.eu,70.72,22.72,79.62,20.38,,,,343,124.5,,144,778.5,35,0,124.87,0,17.08,356.4,221.76,9.12,153.91,954.14,35.23,1.34,0,30.67,,27.5,377,207.83,75.03,369.07,0.53,-0.67,0,279.63,278.39,0.02,59.96,,4156,374,,,58
2019-01-01T10:00:00+00:00,2022-02-08T07:20:39.984346+00:00,2022-02-15T01:33:05.629046+00:00,1546336800,IE,444.86,492.1,327.25,275.48,1580,0,29,420.55,0,2029.55,entsoe.eu,75.97,19.33,83,17,,,,342.5,99.5,,145,958.5,34.5,0,95.34,0,15.4,364.34,175.12,16.98,152.8,1141.9,34.68,1.1,0,31.88,,29,293,222.16,127.55,397.95,0.42,-0.62,5.83,280.04,278.77,0.04,67.73,,4393,290,,,65
2019-01-01T11:00:00+00:00,2022-02-08T07:17:02.676490+00:00,2022-02-15T01:31:44.838095+00:00,1546340400,IE,431.18,493.95,327.25,284.55,1581,0,20,662.67,0,2263.68,entsoe.eu,74.27,19.43,84.1,15.9,,,,336.5,86.5,,148,975,35,0,142.69,0,23.82,376.1,195.24,37.72,159.93,1268.47,35.3,1.49,0,22.91,,20,498,235.34,164.68,433.37,0.31,-0.6,20.83,280.85,279.2,0.04,64.09,,4482,495,,,74
2019-01-01T12:00:00+00:00,2022-02-08T07:17:02.676490+00:00,2022-02-15T01:31:44.838095+00:00,1546344000,IE,433.71,494.94,327.25,297.39,1642.5,0,26,717.55,0,2386.05,entsoe.eu,74.7,19.11,84.06,15.94,,,,347,77,,163,1015.5,39,1,147.74,0,23.58,394.07,189.2,38.26,175.35,1346.63,39.31,2.57,0,29.35,,26,536,245.14,181.55,451.67,0.2,-0.68,36.67,281.48,279.43,0.05,80,,4515,530,,,79
2019-01-01T13:00:00+00:00,2022-02-08T07:17:02.676490+00:00,2022-02-15T01:31:44.838095+00:00,1546347600,IE,442.76,499.04,327.25,308.06,1736,0,24.5,704.23,0,2464.72,entsoe.eu,77.09,17.03,85.88,14.12,,,,347,68.5,,155.5,1125,39,1,144.83,0,20.75,394.27,173.24,27.31,168.09,1464.25,39.3,2.54,0,30.15,,24.5,536,261.34,168.22,456.93,0.4,-1.07,154.17,281.95,279.56,0,110.33,,4544,530,,,87
2019-01-01T14:00:00+00:00,2022-02-08T07:17:02.676490+00:00,2022-02-15T01:27:55.963706+00:00,1546351200,IE,448.1,503.93,327.25,307.69,1780.5,0,24.5,686.8,0,2491.8,entsoe.eu,78.66,15.51,87.31,12.69,,,,346.5,48,,156.5,1190,38.5,1,145.42,0,18.98,385.84,154.17,14.76,168.14,1533,38.81,2.55,0,30.12,,24.5,536,269.17,150.8,444.61,0.19,-1.06,145,281.96,279.61,0.01,100.28,,4495,530,,,90
2019-01-01T15:00:00+00:00,2022-02-08T07:20:39.984346+00:00,2022-02-15T01:33:05.629046+00:00,1546354800,IE,454.41,508.64,327.25,317.44,1768,0,23,678.55,0,2469.55,entsoe.eu,79.82,14.35,88.25,11.75,,,,346,29.5,,158,1194,39.5,1,144.13,0,22.5,389.24,132.52,2.96,169.85,1539.86,39.81,2.48,0,26.21,,23,536,282.24,142.55,449.79,0.18,-1.29,135,281.46,279.52,0.01,110.33,,4499,530,,,81
2019-01-01T16:00:00+00:00,2022-02-08T07:17:02.676490+00:00,2022-02-15T01:27:56.415400+00:00,1546358400,IE,455.21,508.8,327.25,329.57,1792,0,143,618.62,0,2553.62,entsoe.eu,77.14,17.85,83.03,16.97,,,,346.5,27,,159,1220,38.5,1,128.01,0,22.88,393.49,110.96,0.07,172.77,1535.47,38.76,2.29,0,148.92,,143,536,309.23,82.62,461.53,-0.28,-1.3,109.17,280.31,278.83,0.01,185,,4588,530,,,83
